Plant Type,Family,Common Name,Genus,Organism,OTU,Sequences,Pairwise Identity,BLH,Query,BarCode,Time Period,Date,Region,Site,Host Plant,Sex,BLTVA,BCTV,S citri,Notes
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,5,19,99.80%,84,bc1146--bc1155,ITS,Late May,2020-05-18,Mattawa,B,Russian thistle,,1,1,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,54,3,99.80%,107,bc1146--bc1189,ITS,Late May,2020-05-18,Mattawa,C,Potato,,1,1,0,Extracted by Gina
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,29,12,99.80%,122,bc1152--bc1190,ITS,Late May,2020-05-18,Mattawa,D,Russian thistle,,1,1,0,Extracted by Gina
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,1,171,99.80%,0,bc1140--bc1299,,,,,,,,,,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,4,5,99.60%,0,bc1140--bc1299,,,,,,,,,,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,5,2,99.50%,0,bc1140--bc1299,,,,,,,,,,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,6,2,99.30%,0,bc1140--bc1299,,,,,,,,,,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,7,2,99.50%,0,bc1140--bc1299,,,,,,,,,,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,1,4,99.70%,0,bc1146--bc1192,,,,,,,,,,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,1,99,99.80%,0,bc1146--bc1339,,,,,,,,,,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,2,4,99.60%,0,bc1146--bc1339,,,,,,,,,,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,3,3,99.60%,0,bc1146--bc1339,,,,,,,,,,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,4,2,99.50%,0,bc1146--bc1339,,,,,,,,,,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,5,2,99.30%,0,bc1146--bc1339,,,,,,,,,,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,6,2,99.50%,0,bc1146--bc1339,,,,,,,,,,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,2,12,99.80%,0,bc1153--bc1339,,,,,,,,,,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,3,3,99.10%,0,bc1153--bc1339,,,,,,,,,,,
Crop,Amaranthaceae,Beet,Beta,Beta vulgaris,14,2,100.00%,671,bc1105--bc1177,trnF,Early August,2020-08-12,Othello,G,Kochia,F,1,0,0,
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,2,11,96.70%,15,bc1150--bc1192,ITS,Early May,2020-05-13,Paterson,H,Russian thistle,M,0,0,0,
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,683,1044,96.60%,8,bc1150--bc1170,ITS,Late April,2020-04-22,Pasco,WSU,Tumble mustard,F,1,0,0,RADseq
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,1720,1892,96.90%,9,bc1150--bc1171,ITS,Late April,2020-04-22,Pasco,WSU,Tumble mustard,F,0,0,0,RADseq
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,17,9,96.90%,10,bc1150--bc1172,ITS,Late April,2020-04-22,Pasco,WSU,Filaree,F,1,0,0,
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,4,54,97.20%,11,bc1150--bc1190,ITS,Late April,2020-04-23,Moxee,A,Flixweed/Pinnate tansymustard,F,0,0,0,
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,50,45,95.50%,12,bc1150--bc1191,ITS,Late April,2020-04-23,Moxee,A,Flixweed/Pinnate tansymustard,F,0,0,0,RADseq
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,2,26,97.10%,18,bc1150--bc1155,ITS,Late May,2020-05-18,Moxee,A,Flixweed,F,0,0,0,
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,938,276,96.90%,19,bc1140--bc1150,ITS,Late May,2020-05-18,Moxee,A,Tumble mustard,F,0,0,0,RADseq
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,6,4,97.10%,28,bc1146--bc1171,ITS,Late May,2020-05-18,Moxee,A,Kochia,F,0,0,0,
