BLH_ID,type,family,common_name,genus,organism,primer,short,BC,Code,Barcode,OTU ,Sequences,blh_mix_count,time_period,Year,Date,region,site_name,Terpene,host_plant,extraction_date,nucleic_acid,purity,quality,BCTV,CPt,S_citri
L11,Grass,Poaceae,Foxtail millet,Setaria,Setaria pumila,ITS,B,bc1161,19,bc1166 ,4,5,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,141.9,2.05,1.69,1,1,0
L12,Pigweed,Amaranthaceae,Smooth pigweed,Amaranthus,Amaranthus hybridus,ITS,D,bc1163,19,bc1166 ,1,179,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,65.4,2.07,1.57,1,1,0
L12,Weed,Amaranthaceae,Amaranth,Blitum,Blitum petiolare,ITS,D,bc1163,19,bc1166 ,2,100,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,65.4,2.07,1.57,1,1,0
L12,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,D,bc1163,19,bc1166 ,5,3,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,65.4,2.07,1.57,1,1,0
L12,Crop,Fabaceae,Chickpea,Cicer,Cicer arietinum,ITS,D,bc1163,19,bc1166 ,6,2,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,65.4,2.07,1.57,1,1,0
L12,Russian Thistle,Amaranthaceae,Prickly Russian Thistle,Kali,Kali turgidum,ITS,D,bc1163,19,bc1166 ,4,3,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,65.4,2.07,1.57,1,1,0
L12,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,D,bc1163,19,bc1166 ,3,96,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,65.4,2.07,1.57,1,1,0
L13,Tree,Sapindaceae,Sugar maple,Acer,Acer saccharinum,ITS,19,bc1166,E,bc1170 ,3,3,5,June,2022,44719,Prosser,Q5-Ter,terpinolene,Cannabis,45211,82.4,2.04,1.6,1,1,0
L13,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,19,bc1166,E,bc1170 ,8,2,5,June,2022,44719,Prosser,Q5-Ter,terpinolene,Cannabis,45211,82.4,2.04,1.6,1,1,0
L13,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,19,bc1166,E,bc1170 ,7,3,5,June,2022,44719,Prosser,Q5-Ter,terpinolene,Cannabis,45211,82.4,2.04,1.6,1,1,0
L13,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,19,bc1166,E,bc1170 ,6,7,5,June,2022,44719,Prosser,Q5-Ter,terpinolene,Cannabis,45211,82.4,2.04,1.6,1,1,0
L13,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,19,bc1166,E,bc1170 ,1,7,5,June,2022,44719,Prosser,Q5-Ter,terpinolene,Cannabis,45211,82.4,2.04,1.6,1,1,0
L13,Russian Thistle,Amaranthaceae,Prickly Russian Thistle,Kali,Kali turgidum,ITS,19,bc1166,E,bc1170 ,5,3,5,June,2022,44719,Prosser,Q5-Ter,terpinolene,Cannabis,45211,82.4,2.04,1.6,1,1,0
L13,Grass,Poaceae,Rye,Secale,Secale sylvestre,ITS,19,bc1166,E,bc1170 ,9,2,5,June,2022,44719,Prosser,Q5-Ter,terpinolene,Cannabis,45211,82.4,2.04,1.6,1,1,0
L13,Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium loeselii,ITS,19,bc1166,E,bc1170 ,6,3,5,June,2022,44719,Prosser,Q5-Ter,terpinolene,Cannabis,45211,82.4,2.04,1.6,1,1,0
L13,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,ITS,19,bc1166,E,bc1170 ,10,2,5,June,2022,44719,Prosser,Q5-Ter,terpinolene,Cannabis,45211,82.4,2.04,1.6,1,1,0
L14,Pigweed,Amaranthaceae,Smooth pigweed,Amaranthus,Amaranthus hybridus,ITS,19,bc1166,F,bc1171 ,2,5,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,108.3,2.15,2.15,1,0,0
L14,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,19,bc1166,F,bc1171 ,8,2,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,108.3,2.15,2.15,1,0,0
L14,Weed,Amaranthaceae,Amaranth,Blitum,Blitum petiolare,ITS,19,bc1166,F,bc1171 ,7,2,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,108.3,2.15,2.15,1,0,0
L14,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,19,bc1166,F,bc1171 ,12,6,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,108.3,2.15,2.15,1,0,0
L14,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,19,bc1166,F,bc1171 ,16,6,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,108.3,2.15,2.15,1,0,0
L14,Russian Thistle,Amaranthaceae,Prickly Russian Thistle,Kali,Kali turgidum,ITS,19,bc1166,F,bc1171 ,22,199,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,108.3,2.15,2.15,1,0,0
L14,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,19,bc1166,F,bc1171 ,5,3,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,108.3,2.15,2.15,1,0,0
L14,Weed,Plantaginaceae,Plantain,Plantago,Plantago lanceolata,ITS,19,bc1166,F,bc1171 ,6,3,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,108.3,2.15,2.15,1,0,0
L14,Weed,Amaranthaceae,Seepweed,Suaeda,Suaeda corniculata,trnF,4,bc1100,H,bc1107 ,2,NA,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,108.3,2.15,2.15,1,0,0
L15,Weed,Amaryllidaceae,Wild onion,Allium,Allium pskemense,ITS,19,bc1166,G,bc1172 ,9,2,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,110.5,2.13,1.99,1,1,0
L15,Weed,Amaranthaceae,Amaranth,Blitum,Blitum petiolare,ITS,19,bc1166,G,bc1172 ,11,82,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,110.5,2.13,1.99,1,1,0
L15,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,19,bc1166,G,bc1172 ,11,2,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,110.5,2.13,1.99,1,1,0
L15,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,19,bc1166,G,bc1172 ,4,5,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,110.5,2.13,1.99,1,1,0
L15,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,19,bc1166,G,bc1172 ,6,4,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,110.5,2.13,1.99,1,1,0
L15,Russian Thistle,Amaranthaceae,Prickly Russian Thistle,Kali,Kali turgidum,ITS,19,bc1166,G,bc1172 ,7,28,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,110.5,2.13,1.99,1,1,0
L15,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,19,bc1166,G,bc1172 ,3,6,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,110.5,2.13,1.99,1,1,0
L15,Grass,Poaceae,Bluegrass,Poa,Poa compressa,ITS,19,bc1166,G,bc1172 ,7,4,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,110.5,2.13,1.99,1,1,0
L15,Tree,Pinaceae,Hemlock,Tsuga,Tsuga heterophylla,ITS,19,bc1166,G,bc1172 ,8,2,5,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,110.5,2.13,1.99,1,1,0
L16,Grass,Poaceae,Fescue,Festuca,Festuca gudoschnikovii,ITS,19,bc1166,H,bc1190 ,3,5,4,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,28.2,2.15,1.62,1,1,1
L16,Russian Thistle,Amaranthaceae,Prickly Russian Thistle,Kali,Kali turgidum,ITS,19,bc1166,H,bc1190 ,13,7,4,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,28.2,2.15,1.62,1,1,1
L16,Crop,Cucurbitaceae,Melon,Melon,Melon 17S,ITS,19,bc1166,H,bc1190 ,7,2,4,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,28.2,2.15,1.62,1,1,1
L16,Crop,Fabaceae,Bean,Phaseolus,Phaseolus vulgaris,ITS,19,bc1166,H,bc1190 ,5,4,4,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,28.2,2.15,1.62,1,1,1
L16,Tree,Pinaceae,Lodgepole Pine,Pinus,Pinus contorta,trnF,D,bc1106,5,bc1111 ,5,10,4,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,28.2,2.15,1.62,1,1,1
L16,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,19,bc1166,H,bc1190 ,1,8,4,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,28.2,2.15,1.62,1,1,1
L16,Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium loeselii,ITS,19,bc1166,H,bc1190 ,2,6,4,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,28.2,2.15,1.62,1,1,1
L16,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,ITS,19,bc1166,H,bc1190 ,10,2,4,June,2022,44719,Prosser,Q6-Ger,geraniol,Cannabis,45218,28.2,2.15,1.62,1,1,1
